기준일,기준일,5일,15일,25일
2020.04,전회가격(B),"47,069","46,804","46,748"
2020.04,가격차이(A-B),-265,-56,24
2020.04,전회대비(%),-0.6,-0.1,0.1
2020.05,금회가격(A),"46,779","46,781","46,809"
2020.05,전회가격(B),"46,773","46,779","46,781"
2020.05,가격차이(A-B),6,3,27
2020.05,전회대비(%),0.0,0.0,0.1
2020.06,금회가격(A),"46,981","47,120","47,138"
2020.06,전회가격(B),"46,809","46,981","47,120"
2020.06,가격차이(A-B),172,139,18
2020.06,전회대비(%),0.4,0.3,0.0
2020.07,금회가격(A),"47,082","47,183","47,187"
2020.07,전회가격(B),"47,138","47,082","47,183"
2020.07,가격차이(A-B),-56,101,4
2020.07,전회대비(%),-0.1,0.2,0.0
2020.08,금회가격(A),"47,258","47,304","47,504"
2020.08,전회가격(B),"47,187","47,258","47,304"
2020.08,가격차이(A-B),71,45,200
2020.08,전회대비(%),0.2,0.1,0.4
2020.09,금회가격(A),"47,666","47,780","48,008"
2020.09,전회가격(B),"47,504","47,666","47,780"
2020.09,가격차이(A-B),162,115,228
2020.09,전회대비(%),0.3,0.2,0.5
2020.10,금회가격(A),"53,806","52,715","52,730"
2020.10,전회가격(B),"48,008","53,806","52,715"
2020.10,가격차이(A-B),"5,798","-1,091",15
2020.10,전회대비(%),12.1,-2.0,0.0
2020.11,금회가격(A),"53,187","53,332","53,659"
2020.11,전회가격(B),"52,730","53,187","53,332"
2020.11,가격차이(A-B),457,145,327
2020.11,전회대비(%),0.9,0.3,0.6
2020.12,금회가격(A),"53,821","53,923","53,928"
2020.12,전회가격(B),"53,659","53,821","53,923"
2020.12,가격차이(A-B),162,103,5
2020.12,전회대비(%),0.3,0.2,0.0
2021.01,금회가격(A),"54,031","54,067","54,134"
2021.01,전회가격(B),"53,928","54,031","54,067"
2021.01,가격차이(A-B),103,36,68
2021.01,전회대비(%),0.2,0.1,0.1
2021.02,금회가격(A),"54,244","54,367","54,490"
2021.02,전회가격(B),"54,134","54,244","54,367"
2021.02,가격차이(A-B),110,123,123
2021.02,전회대비(%),0.2,0.2,0.2
2021.03,금회가격(A),"54,680","54,880","54,905"
2021.03,전회가격(B),"54,490","54,680","54,880"
2021.03,가격차이(A-B),189,201,25
2021.03,전회대비(%),0.3,0.4,0.0
2021.04,금회가격(A),"55,197","55,180","55,237"
2021.04,전회가격(B),"54,905","55,197","55,180"
2021.04,가격차이(A-B),292,-17,57
2021.04,전회대비(%),0.5,0.0,0.1
2021.05,금회가격(A),"55,290","55,326","55,364"
2021.05,전회가격(B),"55,237","55,290","55,326"
2021.05,가격차이(A-B),53,36,39
2021.05,전회대비(%),0.1,0.1,0.1
2021.06,금회가격(A),"55,331","55,393","55,327"
2021.06,전회가격(B),"55,364","55,331","55,393"
2021.06,가격차이(A-B),-34,63,-66
2021.06,전회대비(%),-0.1,0.1,-0.1
2021.07,금회가격(A),"55,330","55,310","55,282"
2021.07,전회가격(B),"55,327","55,330","55,310"
2021.07,가격차이(A-B),3,-20,-29
2021.07,전회대비(%),0.0,0.0,-0.1
2021.08,금회가격(A),"55,139","54,943","54,572"
2021.08,전회가격(B),"55,282","55,139","54,943"
2021.08,가격차이(A-B),-143,-196,-371
2021.08,전회대비(%),-0.3,-0.4,-0.7
2021.09,금회가격(A),"53,881","53,238","52,790"
2021.09,전회가격(B),"54,572","53,881","53,238"
2021.09,가격차이(A-B),-691,-643,-448
2021.09,전회대비(%),-1.3,-1.2,-0.8
2021.10,금회가격(A),"55,064","53,289","52,983"
2021.10,전회가격(B),"52,790","55,064","53,289"
2021.10,가격차이(A-B),"2,274","-1,774",-306
2021.10,전회대비(%),4.3,-3.2,-0.6
2021.11,금회가격(A),"52,482","52,220","51,728"
2021.11,전회가격(B),"52,983","52,482","52,220"
2021.11,가격차이(A-B),-501,-262,-492
2021.11,전회대비(%),-0.9,-0.5,-0.9
2021.12,금회가격(A),"51,331","50,676","50,011"
2021.12,전회가격(B),"51,728","51,331","50,676"
2021.12,가격차이(A-B),-397,-655,-665
2021.12,전회대비(%),-0.8,-1.3,-1.3
2022.01,금회가격(A),"49,678","49,451","49,422"
2022.01,전회가격(B),"50,011","49,678","49,451"
2022.01,가격차이(A-B),-333,-228,-29
2022.01,전회대비(%),-0.7,-0.5,-0.1
2022.02,금회가격(A),"49,391","49,302","48,934"
2022.02,전회가격(B),"49,422","49,391","49,302"
2022.02,가격차이(A-B),-31,-89,-368
2022.02,전회대비(%),-0.1,-0.2,-0.7
2022.03,금회가격(A),"48,617","48,467","47,690"
2022.03,전회가격(B),"48,934","48,617","48,467"
2022.03,가격차이(A-B),-317,-150,-777
2022.03,전회대비(%),-0.6,-0.3,-1.6
2022.04,금회가격(A),"46,727","46,091","45,655"
2022.04,전회가격(B),"47,690","46,727","46,091"
2022.04,가격차이(A-B),-963,-637,-436
2022.04,전회대비(%),-2.0,-1.4,-0.9
2022.05,금회가격(A),"45,423","44,826","44,630"
2022.05,전회가격(B),"45,655","45,423","44,826"
2022.05,가격차이(A-B),-232,-597,-196
2022.05,전회대비(%),-0.5,-1.3,-0.4
2022.06,금회가격(A),"44,292","43,959","43,705"
2022.06,전회가격(B),"44,630","44,292","43,959"
2022.06,가격차이(A-B),-339,-332,-255
2022.06,전회대비(%),-0.8,-0.8,-0.6
2022.07,금회가격(A),"43,218","42,772","42,200"
2022.07,전회가격(B),"43,705","43,218","42,772"
2022.07,가격차이(A-B),-486,-447,-572
2022.07,전회대비(%),-1.1,-1.0,-1.3
2022.08,금회가격(A),"41,402","40,590","40,112"
2022.08,전회가격(B),"42,200","41,402","40,590"
2022.08,가격차이(A-B),-798,-813,-477
2022.08,전회대비(%),-1.9,-2.0,-1.2
2022.09,금회가격(A),"39,321","39,010","38,754"
2022.09,전회가격(B),"40,112","39,321","39,010"
2022.09,가격차이(A-B),-792,-310,-257
2022.09,전회대비(%),-2.0,-0.8,-0.7
2022.10,금회가격(A),"44,734","45,375","45,875"
2022.10,전회가격(B),"38,754","44,734","45,375"
2022.10,가격차이(A-B),"5,980",641,500
2022.10,전회대비(%),15.4,1.4,1.1
2022.11,금회가격(A),"45,781","45,626","45,580"
2022.11,전회가격(B),"45,875","45,781","45,626"
2022.11,가격차이(A-B),-94,-155,-46
2022.11,전회대비(%),-0.2,-0.3,-0.1
2022.12,금회가격(A),"45,490","45,366","45,265"
2022.12,전회가격(B),"45,580","45,490","45,366"
2022.12,가격차이(A-B),-90,-124,-101
2022.12,전회대비(%),-0.2,-0.3,-0.2
2023.01,금회가격(A),"45,135","45,092","45,027"
2023.01,전회가격(B),"45,265","45,135","45,092"
2023.01,가격차이(A-B),-130,-43,-65
2023.01,전회대비(%),-0.3,-0.1,-0.1
2023.02,금회가격(A),"44,859","44,966","44,883"
2023.02,전회가격(B),"45,027","44,859","44,966"
2023.02,가격차이(A-B),-168,107,-83
2023.02,전회대비(%),-0.4,0.2,-0.2
2023.03,금회가격(A),"44,838","44,797","44,545"
2023.03,전회가격(B),"44,883","44,838","44,797"
2023.03,가격차이(A-B),-45,-41,-252
2023.03,전회대비(%),-0.1,-0.1,-0.6
2023.04,금회가격(A),"44,585","44,412","44,415"
2023.04,전회가격(B),"44,545","44,585","44,412"
2023.04,가격차이(A-B),40,-173,3
2023.04,전회대비(%),0.1,-0.4,0.0
2023.05,금회가격(A),"44,326","44,555","44,878"
2023.05,전회가격(B),"44,415","44,326","44,555"
2023.05,가격차이(A-B),-89,229,323
2023.05,전회대비(%),-0.2,0.5,0.7
2023.06,금회가격(A),"45,310","45,461","45,642"
2023.06,전회가격(B),"44,878","45,310","45,461"
2023.06,가격차이(A-B),432,151,181
2023.06,전회대비(%),1.0,0.3,0.4
2023.07,금회가격(A),"45,924","46,436","47,220"
2023.07,전회가격(B),"45,642","45,924","46,436"
2023.07,가격차이(A-B),282,512,784
2023.07,전회대비(%),0.6,1.1,1.7
2023.08,금회가격(A),"47,961","48,591","49,245"
2023.08,전회가격(B),"47,220","47,961","48,591"
2023.08,가격차이(A-B),741,630,654
